City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
232,Maturin,VE,80.06,broken clouds,9.75,-63.18,Residencias Guaritos I
234,Greenwood,US,89.01,clear sky,34.17,-82.12,Quality Inn Greenwood Hwy 25
235,Forestville,US,84.99,few clouds,38.85,-76.88,Quality Inn
236,Trincomalee,LK,80.87,overcast clouds,8.57,81.23,Welcombe Hotel
237,Alta Floresta,BR,90.59,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
240,Pochutla,MX,86.0,scattered clouds,15.74,-96.47,Hotel Posada San Jose
244,Lazaro Cardenas,MX,82.74,light rain,17.96,-102.2,Collection O Hotel Quinta Antigua
247,Stillwater,US,82.4,clear sky,36.12,-97.06,Hampton Inn & Suites Stillwater
249,Black River,JM,88.0,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
250,Maraba,BR,91.4,few clouds,-5.37,-49.12,Hotel Del Principe
261,San Patricio,MX,87.8,broken clouds,19.22,-104.7,Hotel Cabo Blanco
267,Bela,IN,77.94,clear sky,25.93,81.98,Siddharth Hotel
268,Sola,VU,79.05,broken clouds,-13.88,167.55,Leumerus Bungalows
269,Tezu,IN,75.49,light rain,27.92,96.17,Circuit House
275,Hot Springs,US,93.2,few clouds,34.5,-93.06,Embassy Suites by Hilton Hot Springs Hotel & Spa
278,Vanimo,PG,78.26,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
279,Eyl,SO,78.46,broken clouds,7.98,49.82,Amiin Hotel
281,Fare,PF,78.22,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
282,Alofi,NU,80.6,scattered clouds,-19.06,-169.92,Taloa Heights
283,Faanui,PF,77.99,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
284,Amroha,IN,77.32,few clouds,28.92,78.47,Hotel Parth Amroha
286,Wanning,CN,78.13,clear sky,18.8,110.4,Paradise Hotel
287,Bilara,IN,82.11,broken clouds,26.18,73.71,विक्रम दास वैष्णव बिलाड़ा
290,Sciacca,IT,79.0,clear sky,37.51,13.09,Hotel Aliai
291,Kadhan,PK,81.46,overcast clouds,24.48,68.99,Arshad Communication
297,Sur,OM,83.1,few clouds,22.57,59.53,Sur Plaza Hotel
305,Mayo,US,86.0,scattered clouds,38.89,-76.51,Resorts Resource Group International
312,Namie,JP,77.0,broken clouds,37.48,141.0,いこいの村なみえ(福島県)
313,Ixtapa,MX,87.8,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
314,Port-Gentil,GA,77.0,overcast clouds,-0.72,8.78,Fengshui Residence
315,Kavaratti,IN,81.45,moderate rain,10.57,72.64,Bismillah Hotel And Lodging
316,Port Moresby,PG,75.2,fog,-9.44,147.18,Lamana Hotel
317,Palmer,US,81.0,broken clouds,42.16,-72.33,Wedgewood Motel
318,Qidong,CN,81.0,broken clouds,31.81,121.66,Hilton Garden Inn Qidong
320,Sapulpa,US,89.6,clear sky,36.0,-96.11,Super 8 by Wyndham Sapulpa/Tulsa Area
321,Russell,US,87.8,scattered clouds,32.35,-85.2,Macs
322,Olutanga,PH,81.86,overcast clouds,7.31,122.85,Morales Lodge
323,Edea,CM,77.0,broken clouds,3.8,10.13,Micotel Hotel
324,Norfolk,US,78.01,overcast clouds,42.17,-71.25,Residence Inn by Marriott Boston Norwood/Canton
332,Tecoanapa,MX,80.83,overcast clouds,16.52,-98.75,Hotel Manglares
336,Vila Franca Do Campo,PT,75.2,few clouds,37.72,-25.43,Pestana Bahia Praia
